,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
2914,104621,104621,"['(Al1.66Li0.34)Ca-104621-Cagome_big.gph', '(Al1.66Li0.34)Ca-104621-Cagome_big_1.gph', '(Al1.66Li0.34)Ca-104621-Cagome_big_2.gph', '(Al1.66Li0.34)Ca-104621-Cagome_big_3.gph']",intermetallics_search_104621.cif
2915,104622,104622,"['(Al1.6Li0.4)Ca-104622-Cagome_big.gph', '(Al1.6Li0.4)Ca-104622-Cagome_big_1.gph', '(Al1.6Li0.4)Ca-104622-Cagome_big_2.gph', '(Al1.6Li0.4)Ca-104622-Cagome_big_3.gph', '(Al1.6Li0.4)Ca-104622-Cagome_big_4.gph', '(Al1.6Li0.4)Ca-104622-Cagome_big_5.gph']",intermetallics_search_104622.cif
2916,104623,104623,"['(Al1.325Li0.675)Ca-104623-Cagome_big.gph', '(Al1.325Li0.675)Ca-104623-Cagome_big_1.gph', '(Al1.325Li0.675)Ca-104623-Cagome_big_2.gph', '(Al1.325Li0.675)Ca-104623-Cagome_big_3.gph', '(Al1.325Li0.675)Ca-104623-Cagome_big_4.gph']",intermetallics_search_104623.cif
2917,104626,104626,"['AlCe3-104626-Cagome_big.gph', 'AlCe3-104626-Cagome_big_1.gph', 'AlCe3-104626-Cagome_big_10.gph', 'AlCe3-104626-Cagome_big_11.gph', 'AlCe3-104626-Cagome_big_2.gph', 'AlCe3-104626-Cagome_big_3.gph', 'AlCe3-104626-Cagome_big_4.gph', 'AlCe3-104626-Cagome_big_5.gph', 'AlCe3-104626-Cagome_big_6.gph', 'AlCe3-104626-Cagome_big_7.gph', 'AlCe3-104626-Cagome_big_8.gph', 'AlCe3-104626-Cagome_big_9.gph']",intermetallics_search_104626.cif
2918,104627,104627,"['Ce(Al2Cu3)-104627-Cagome_big.gph', 'Ce(Al2Cu3)-104627-Cagome_big_1.gph']",intermetallics_search_104627.cif
2919,104632,104632,['AlCePd-104632-Cagome_big.gph'],intermetallics_search_104632.cif
2920,104633,104633,['Al3CePd2-104633-Cagome_big.gph'],intermetallics_search_104633.cif
2921,104636,104636,['Al3CePt2-104636-Cagome_big.gph'],intermetallics_search_104636.cif
2922,104637,104637,['Al2(Ce0.7U0.3)-104637-Cagome_big.gph'],intermetallics_search_104637.cif
2923,104639,104639,"['(Al0.13Co0.87)-104639-Cagome_big.gph', '(Al0.13Co0.87)-104639-Cagome_big_1.gph']",intermetallics_search_104639.cif
2924,104640,104640,"['(Al0.075Co0.925)2Y-104640-Cagome_big.gph', '(Al0.075Co0.925)2Y-104640-Cagome_big_1.gph']",intermetallics_search_104640.cif
2925,104642,104642,"['(Al0.088Co0.8Cu0.112)2Y-104642-Cagome_big.gph', '(Al0.088Co0.8Cu0.112)2Y-104642-Cagome_big_1.gph', '(Al0.088Co0.8Cu0.112)2Y-104642-Cagome_big_2.gph']",intermetallics_search_104642.cif
2926,104643,104643,"['(AlCo4)Dy-104643-Cagome_big.gph', '(AlCo4)Dy-104643-Cagome_big_1.gph']",intermetallics_search_104643.cif
2927,104646,104646,"['(Al0.05Co0.95)2(Ho0.4Y0.6)-104646-Cagome_big.gph', '(Al0.05Co0.95)2(Ho0.4Y0.6)-104646-Cagome_big_1.gph']",intermetallics_search_104646.cif
2928,104647,104647,"['(Al0.1Co0.9)2(Lu0.48Y0.52)-104647-Cagome_big.gph', '(Al0.1Co0.9)2(Lu0.48Y0.52)-104647-Cagome_big_1.gph']",intermetallics_search_104647.cif
2929,104650,104650,"['(Al0.94Co0.06)3Ti-104650-Cagome_big.gph', '(Al0.94Co0.06)3Ti-104650-Cagome_big_1.gph']",intermetallics_search_104650.cif
2930,104651,104651,"['(AlCo4)Tm-104651-Cagome_big.gph', '(AlCo4)Tm-104651-Cagome_big_1.gph']",intermetallics_search_104651.cif
2931,104652,104652,"['(Al0.8Co0.2)3U-104652-Cagome_big.gph', '(Al0.8Co0.2)3U-104652-Cagome_big_1.gph']",intermetallics_search_104652.cif
2932,104660,104660,['LaMg2-104660-Cagome_big.gph'],intermetallics_search_104660.cif
2933,104662,104662,"['(La0.0045Mg0.9955)-104662-Cagome_big.gph', '(La0.0045Mg0.9955)-104662-Cagome_big_1.gph', '(La0.0045Mg0.9955)-104662-Cagome_big_2.gph', '(La0.0045Mg0.9955)-104662-Cagome_big_3.gph']",intermetallics_search_104662.cif
