,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
0,000071,71,"['Fe3Sn2-71-Cagome_big.gph', 'Fe3Sn2-71-Cagome_big_1.gph']",intermetallics_search_000071.cif
1,000074,74,"['Fe3Mn4Ge6-74-Cagome_big.gph', 'Fe3Mn4Ge6-74-Cagome_big_1.gph']",intermetallics_search_000074.cif
2,000077,77,"['Bi3Y5-77-Cagome_big.gph', 'Bi3Y5-77-Cagome_big_1.gph', 'Bi3Y5-77-Cagome_big_2.gph', 'Bi3Y5-77-Cagome_big_3.gph', 'Bi3Y5-77-Cagome_big_4.gph', 'Bi3Y5-77-Cagome_big_5.gph']",intermetallics_search_000077.cif
3,000362,362,"['Cs6K7-362-Cagome_big.gph', 'Cs6K7-362-Cagome_big_1.gph']",intermetallics_search_000362.cif
4,000458,458,"['Tb2(Fe0.832Al0.168)17-458-Cagome_big.gph', 'Tb2(Fe0.832Al0.168)17-458-Cagome_big_1.gph', 'Tb2(Fe0.832Al0.168)17-458-Cagome_big_2.gph', 'Tb2(Fe0.832Al0.168)17-458-Cagome_big_3.gph']",intermetallics_search_000458.cif
5,001104,1104,"['Mg(Ag0.2Zn1.8)-1104-Cagome_big.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_1.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_10.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_11.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_2.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_3.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_4.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_5.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_6.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_7.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_8.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_9.gph']",intermetallics_search_001104.cif
6,001345,1345,"['Sb3Ti5-1345-Cagome_big.gph', 'Sb3Ti5-1345-Cagome_big_1.gph', 'Sb3Ti5-1345-Cagome_big_2.gph', 'Sb3Ti5-1345-Cagome_big_3.gph', 'Sb3Ti5-1345-Cagome_big_4.gph', 'Sb3Ti5-1345-Cagome_big_5.gph']",intermetallics_search_001345.cif
7,002029,2029,['BaCd4.43-2029-Cagome_big.gph'],intermetallics_search_002029.cif
8,002054,2054,"['Sm2Co7-2054-Cagome_big.gph', 'Sm2Co7-2054-Cagome_big_1.gph', 'Sm2Co7-2054-Cagome_big_2.gph']",intermetallics_search_002054.cif
9,002065,2065,"['Ca5Sb3-2065-Cagome_big.gph', 'Ca5Sb3-2065-Cagome_big_1.gph', 'Ca5Sb3-2065-Cagome_big_2.gph', 'Ca5Sb3-2065-Cagome_big_3.gph', 'Ca5Sb3-2065-Cagome_big_4.gph', 'Ca5Sb3-2065-Cagome_big_5.gph']",intermetallics_search_002065.cif
10,002140,2140,"['Ca5Bi3-2140-Cagome_big.gph', 'Ca5Bi3-2140-Cagome_big_1.gph', 'Ca5Bi3-2140-Cagome_big_2.gph', 'Ca5Bi3-2140-Cagome_big_3.gph', 'Ca5Bi3-2140-Cagome_big_4.gph', 'Ca5Bi3-2140-Cagome_big_5.gph']",intermetallics_search_002140.cif
11,002306,2306,"['Nb(Al0.77Ir0.23)2-2306-Cagome_big.gph', 'Nb(Al0.77Ir0.23)2-2306-Cagome_big_1.gph', 'Nb(Al0.77Ir0.23)2-2306-Cagome_big_2.gph', 'Nb(Al0.77Ir0.23)2-2306-Cagome_big_3.gph']",intermetallics_search_002306.cif
12,002351,2351,"['TbFe2-2351-Cagome_big.gph', 'TbFe2-2351-Cagome_big_1.gph', 'TbFe2-2351-Cagome_big_2.gph']",intermetallics_search_002351.cif
13,002414,2414,"['HfNi3-2414-Cagome_big.gph', 'HfNi3-2414-Cagome_big_1.gph', 'HfNi3-2414-Cagome_big_2.gph']",intermetallics_search_002414.cif
14,002415,2415,"['HfNi3-2415-Cagome_big.gph', 'HfNi3-2415-Cagome_big_1.gph', 'HfNi3-2415-Cagome_big_2.gph', 'HfNi3-2415-Cagome_big_3.gph', 'HfNi3-2415-Cagome_big_4.gph']",intermetallics_search_002415.cif
15,002741,2741,"['Mg(Ni0.45Cu0.55)2-2741-Cagome_big.gph', 'Mg(Ni0.45Cu0.55)2-2741-Cagome_big_1.gph', 'Mg(Ni0.45Cu0.55)2-2741-Cagome_big_2.gph', 'Mg(Ni0.45Cu0.55)2-2741-Cagome_big_3.gph']",intermetallics_search_002741.cif
16,002778,2778,"['Zr2Ni7-2778-Cagome_big.gph', 'Zr2Ni7-2778-Cagome_big_1.gph', 'Zr2Ni7-2778-Cagome_big_2.gph']",intermetallics_search_002778.cif
17,004491,4491,"['Al2Cu3Gd-4491-Cagome_big.gph', 'Al2Cu3Gd-4491-Cagome_big_1.gph']",intermetallics_search_004491.cif
18,004641,4641,"['Ce2Ir0.94Ge3.06-4641-Cagome_big.gph', 'Ce2Ir0.94Ge3.06-4641-Cagome_big_1.gph', 'Ce2Ir0.94Ge3.06-4641-Cagome_big_2.gph']",intermetallics_search_004641.cif
19,004847,4847,"['CaRh2-4847-Cagome_big.gph', 'CaRh2-4847-Cagome_big_1.gph', 'CaRh2-4847-Cagome_big_2.gph']",intermetallics_search_004847.cif
20,005116,5116,['FeNi3-5116-Cagome_big.gph'],intermetallics_search_005116.cif
21,005123,5123,"['Pt3Tl2-5123-Cagome_big.gph', 'Pt3Tl2-5123-Cagome_big_1.gph']",intermetallics_search_005123.cif
22,005259,5259,"['Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_1.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_2.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_3.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_4.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_5.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_6.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_7.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_8.gph', 'Ni0.42Fe0.32Ir0.20Pt0.03Co0.03-5259-Cagome_big_9.gph']",intermetallics_search_005259.cif
23,005619,5619,"['Gd1.22Ni4In0.78-5619-Cagome_big.gph', 'Gd1.22Ni4In0.78-5619-Cagome_big_1.gph']",intermetallics_search_005619.cif
24,005620,5620,"['GdNi4In-5620-Cagome_big.gph', 'GdNi4In-5620-Cagome_big_1.gph']",intermetallics_search_005620.cif
25,005621,5621,['Gd0.073NiIn0.957-5621-Cagome_big.gph'],intermetallics_search_005621.cif
26,005622,5622,['Gd0.093NiIn0.993-5622-Cagome_big.gph'],intermetallics_search_005622.cif
27,005623,5623,['Gd0.127NiIn0.993-5623-Cagome_big.gph'],intermetallics_search_005623.cif
28,006786,6786,"['ScAuAl-6786-Cagome_big.gph', 'ScAuAl-6786-Cagome_big_1.gph']",intermetallics_search_006786.cif
29,006787,6787,['ScAu1.02Al0.98-6787-Cagome_big.gph'],intermetallics_search_006787.cif
30,007776,7776,['CaRh2-7776-Cagome_big.gph'],intermetallics_search_007776.cif
31,008494,8494,"['PrPdSb-8494-Cagome_big.gph', 'PrPdSb-8494-Cagome_big_1.gph']",intermetallics_search_008494.cif
32,008495,8495,"['NdPdSb-8495-Cagome_big.gph', 'NdPdSb-8495-Cagome_big_1.gph']",intermetallics_search_008495.cif
33,008501,8501,"['Cr1.578NbGa0.422-8501-Cagome_big.gph', 'Cr1.578NbGa0.422-8501-Cagome_big_1.gph', 'Cr1.578NbGa0.422-8501-Cagome_big_2.gph', 'Cr1.578NbGa0.422-8501-Cagome_big_3.gph']",intermetallics_search_008501.cif
34,008505,8505,"['Fe1.515NbGa0.485-8505-Cagome_big.gph', 'Fe1.515NbGa0.485-8505-Cagome_big_1.gph', 'Fe1.515NbGa0.485-8505-Cagome_big_2.gph', 'Fe1.515NbGa0.485-8505-Cagome_big_3.gph']",intermetallics_search_008505.cif
35,008536,8536,"['Y(Ni4.14Mg0.86)-8536-Cagome_big.gph', 'Y(Ni4.14Mg0.86)-8536-Cagome_big_1.gph']",intermetallics_search_008536.cif
36,008579,8579,"['Ce5RuGe2-8579-Cagome_big.gph', 'Ce5RuGe2-8579-Cagome_big_1.gph', 'Ce5RuGe2-8579-Cagome_big_2.gph', 'Ce5RuGe2-8579-Cagome_big_3.gph', 'Ce5RuGe2-8579-Cagome_big_4.gph', 'Ce5RuGe2-8579-Cagome_big_5.gph']",intermetallics_search_008579.cif
37,008808,8808,"['La10Mg4Ni46-8808-Cagome_big.gph', 'La10Mg4Ni46-8808-Cagome_big_1.gph', 'La10Mg4Ni46-8808-Cagome_big_10.gph', 'La10Mg4Ni46-8808-Cagome_big_11.gph', 'La10Mg4Ni46-8808-Cagome_big_12.gph', 'La10Mg4Ni46-8808-Cagome_big_13.gph', 'La10Mg4Ni46-8808-Cagome_big_14.gph', 'La10Mg4Ni46-8808-Cagome_big_15.gph', 'La10Mg4Ni46-8808-Cagome_big_16.gph', 'La10Mg4Ni46-8808-Cagome_big_17.gph', 'La10Mg4Ni46-8808-Cagome_big_18.gph', 'La10Mg4Ni46-8808-Cagome_big_2.gph', 'La10Mg4Ni46-8808-Cagome_big_3.gph', 'La10Mg4Ni46-8808-Cagome_big_4.gph', 'La10Mg4Ni46-8808-Cagome_big_5.gph', 'La10Mg4Ni46-8808-Cagome_big_6.gph', 'La10Mg4Ni46-8808-Cagome_big_7.gph', 'La10Mg4Ni46-8808-Cagome_big_8.gph', 'La10Mg4Ni46-8808-Cagome_big_9.gph']",intermetallics_search_008808.cif
38,008838,8838,"['Fe0.95Al0.015Ge0.035-8838-Cagome_big.gph', 'Fe0.95Al0.015Ge0.035-8838-Cagome_big_1.gph', 'Fe0.95Al0.015Ge0.035-8838-Cagome_big_2.gph', 'Fe0.95Al0.015Ge0.035-8838-Cagome_big_3.gph', 'Fe0.95Al0.015Ge0.035-8838-Cagome_big_4.gph', 'Fe0.95Al0.015Ge0.035-8838-Cagome_big_5.gph', 'Fe0.95Al0.015Ge0.035-8838-Cagome_big_6.gph']",intermetallics_search_008838.cif
39,009115,9115,"['(TbCu7)0.777-9115-Cagome_big.gph', '(TbCu7)0.777-9115-Cagome_big_1.gph', '(TbCu7)0.777-9115-Cagome_big_2.gph']",intermetallics_search_009115.cif
40,009187,9187,"['CeIr3-9187-Cagome_big.gph', 'CeIr3-9187-Cagome_big_1.gph']",intermetallics_search_009187.cif
41,009231,9231,['SrMn2Sb2-9231-Cagome_big.gph'],intermetallics_search_009231.cif
42,010000,10000,['SrGe2-10000-Cagome_big.gph'],intermetallics_search_010000.cif
43,010052,10052,['Li3Tl-10052-Cagome_big.gph'],intermetallics_search_010052.cif
44,010053,10053,"['Li5Tl2-10053-Cagome_big.gph', 'Li5Tl2-10053-Cagome_big_1.gph']",intermetallics_search_010053.cif
45,010828,10828,"['Ca2LiSn3-10828-Cagome_big.gph', 'Ca2LiSn3-10828-Cagome_big_1.gph', 'Ca2LiSn3-10828-Cagome_big_2.gph', 'Ca2LiSn3-10828-Cagome_big_3.gph', 'Ca2LiSn3-10828-Cagome_big_4.gph', 'Ca2LiSn3-10828-Cagome_big_5.gph']",intermetallics_search_010828.cif
46,011555,11555,"['Be5Pt-11555-Cagome_big.gph', 'Be5Pt-11555-Cagome_big_1.gph']",intermetallics_search_011555.cif
47,011878,11878,"['Yb6Ru4.68Al7.32-11878-Cagome_big.gph', 'Yb6Ru4.68Al7.32-11878-Cagome_big_1.gph', 'Yb6Ru4.68Al7.32-11878-Cagome_big_2.gph', 'Yb6Ru4.68Al7.32-11878-Cagome_big_3.gph', 'Yb6Ru4.68Al7.32-11878-Cagome_big_4.gph', 'Yb6Ru4.68Al7.32-11878-Cagome_big_5.gph', 'Yb6Ru4.68Al7.32-11878-Cagome_big_6.gph']",intermetallics_search_011878.cif
48,011879,11879,"['Ho6Ir4.53Al7.47-11879-Cagome_big.gph', 'Ho6Ir4.53Al7.47-11879-Cagome_big_1.gph', 'Ho6Ir4.53Al7.47-11879-Cagome_big_2.gph']",intermetallics_search_011879.cif
49,012024,12024,"['CaMn2Bi2-12024-Cagome_big.gph', 'CaMn2Bi2-12024-Cagome_big_1.gph', 'CaMn2Bi2-12024-Cagome_big_2.gph', 'CaMn2Bi2-12024-Cagome_big_3.gph', 'CaMn2Bi2-12024-Cagome_big_4.gph', 'CaMn2Bi2-12024-Cagome_big_5.gph', 'CaMn2Bi2-12024-Cagome_big_6.gph', 'CaMn2Bi2-12024-Cagome_big_7.gph']",intermetallics_search_012024.cif
50,012150,12150,['CaZn2Sb2-12150-Cagome_big.gph'],intermetallics_search_012150.cif
51,012152,12152,['SrZn2Sb2-12152-Cagome_big.gph'],intermetallics_search_012152.cif
52,012153,12153,['SrCd2Sb2-12153-Cagome_big.gph'],intermetallics_search_012153.cif
53,012161,12161,['KZnSb-12161-Cagome_big.gph'],intermetallics_search_012161.cif
54,012215,12215,['Al3Dy-12215-Cagome_big.gph'],intermetallics_search_012215.cif
55,012216,12216,['Al2(Dy0.5Er0.5)-12216-Cagome_big.gph'],intermetallics_search_012216.cif
56,012635,12635,"['Ce1.662Mg1.338Co9-12635-Cagome_big.gph', 'Ce1.662Mg1.338Co9-12635-Cagome_big_1.gph']",intermetallics_search_012635.cif
57,012973,12973,['CeCuMg-12973-Cagome_big.gph'],intermetallics_search_012973.cif
58,012974,12974,"['(Gd1.06Mg0.94)Cu4-12974-Cagome_big.gph', '(Gd1.06Mg0.94)Cu4-12974-Cagome_big_1.gph']",intermetallics_search_012974.cif
59,013913,13913,"['Ce5RhGe2-13913-Cagome_big.gph', 'Ce5RhGe2-13913-Cagome_big_1.gph', 'Ce5RhGe2-13913-Cagome_big_2.gph', 'Ce5RhGe2-13913-Cagome_big_3.gph', 'Ce5RhGe2-13913-Cagome_big_4.gph', 'Ce5RhGe2-13913-Cagome_big_5.gph']",intermetallics_search_013913.cif
60,013916,13916,['YbMn6Sn6-13916-Cagome_big.gph'],intermetallics_search_013916.cif
61,013917,13917,['Yb0.9Sc0.1Mn6Sn6-13917-Cagome_big.gph'],intermetallics_search_013917.cif
62,013918,13918,['Yb0.85Sc0.15Mn6Sn6-13918-Cagome_big.gph'],intermetallics_search_013918.cif
63,013919,13919,['Yb0.7Sc0.3Mn6Sn6-13919-Cagome_big.gph'],intermetallics_search_013919.cif
64,013920,13920,['Yb0.65Sc0.35Mn6Sn6-13920-Cagome_big.gph'],intermetallics_search_013920.cif
65,013921,13921,['Yb0.5Sc0.5Mn6Sn6-13921-Cagome_big.gph'],intermetallics_search_013921.cif
66,013922,13922,['Yb0.35Sc0.65Mn6Sn6-13922-Cagome_big.gph'],intermetallics_search_013922.cif
67,013923,13923,['Yb0.25Sc0.75Mn6Sn6-13923-Cagome_big.gph'],intermetallics_search_013923.cif
68,013924,13924,['Yb0.1Sc0.9Mn6Sn6-13924-Cagome_big.gph'],intermetallics_search_013924.cif
69,013925,13925,['ScMn6Sn6-13925-Cagome_big.gph'],intermetallics_search_013925.cif
70,013935,13935,"['Fe2MnGe-13935-Cagome_big.gph', 'Fe2MnGe-13935-Cagome_big_1.gph']",intermetallics_search_013935.cif
71,013936,13936,"['Fe2MnGe-13936-Cagome_big.gph', 'Fe2MnGe-13936-Cagome_big_1.gph']",intermetallics_search_013936.cif
72,013937,13937,"['Fe2MnGe-13937-Cagome_big.gph', 'Fe2MnGe-13937-Cagome_big_1.gph', 'Fe2MnGe-13937-Cagome_big_2.gph', 'Fe2MnGe-13937-Cagome_big_3.gph']",intermetallics_search_013937.cif
73,013962,13962,"['EuZn0.25Cu0.5Sb-13962-Cagome_big.gph', 'EuZn0.25Cu0.5Sb-13962-Cagome_big_1.gph']",intermetallics_search_013962.cif
74,013963,13963,"['SrZn0.17Cu0.65Sb-13963-Cagome_big.gph', 'SrZn0.17Cu0.65Sb-13963-Cagome_big_1.gph']",intermetallics_search_013963.cif
75,014565,14565,"['La0.601Gd0.2Mg0.198Ni2.537Co0.463Al0.05-14565-Cagome_big.gph', 'La0.601Gd0.2Mg0.198Ni2.537Co0.463Al0.05-14565-Cagome_big_1.gph', 'La0.601Gd0.2Mg0.198Ni2.537Co0.463Al0.05-14565-Cagome_big_2.gph', 'La0.601Gd0.2Mg0.198Ni2.537Co0.463Al0.05-14565-Cagome_big_3.gph']",intermetallics_search_014565.cif
76,015441,15441,['ThNi2-15441-Cagome_big.gph'],intermetallics_search_015441.cif
77,015442,15442,['ThCu2-15442-Cagome_big.gph'],intermetallics_search_015442.cif
78,015445,15445,['ThZn2-15445-Cagome_big.gph'],intermetallics_search_015445.cif
79,015447,15447,['ThAl2-15447-Cagome_big.gph'],intermetallics_search_015447.cif
80,015908,15908,"['Sc3In-15908-Cagome_big.gph', 'Sc3In-15908-Cagome_big_1.gph']",intermetallics_search_015908.cif
81,015945,15945,['SmNi5-15945-Cagome_big.gph'],intermetallics_search_015945.cif
82,016030,16030,"['Rh0.79Be5.11-16030-Cagome_big.gph', 'Rh0.79Be5.11-16030-Cagome_big_1.gph', 'Rh0.79Be5.11-16030-Cagome_big_2.gph']",intermetallics_search_016030.cif
83,016343,16343,"['CaTi3Bi4-16343-Cagome_big.gph', 'CaTi3Bi4-16343-Cagome_big_1.gph']",intermetallics_search_016343.cif
84,016345,16345,"['CaV3Sb4-16345-Cagome_big.gph', 'CaV3Sb4-16345-Cagome_big_1.gph']",intermetallics_search_016345.cif
85,017348,17348,['CsZnSb-17348-Cagome_big.gph'],intermetallics_search_017348.cif
86,017351,17351,['RbZnSb-17351-Cagome_big.gph'],intermetallics_search_017351.cif
87,017490,17490,"['IrZn-17490-Cagome_big.gph', 'IrZn-17490-Cagome_big_1.gph', 'IrZn-17490-Cagome_big_2.gph', 'IrZn-17490-Cagome_big_3.gph']",intermetallics_search_017490.cif
88,017733,17733,['Gd6FeBi2-17733-Cagome_big.gph'],intermetallics_search_017733.cif
89,017734,17734,['Gd6FeBi2-17734-Cagome_big.gph'],intermetallics_search_017734.cif
90,017735,17735,['Gd6FeBi2-17735-Cagome_big.gph'],intermetallics_search_017735.cif
91,017736,17736,['Gd6FeBi2-17736-Cagome_big.gph'],intermetallics_search_017736.cif
92,017737,17737,['Gd6FeBi2-17737-Cagome_big.gph'],intermetallics_search_017737.cif
93,017738,17738,['Gd6FeBi2-17738-Cagome_big.gph'],intermetallics_search_017738.cif
94,017739,17739,['Gd6FeBi2-17739-Cagome_big.gph'],intermetallics_search_017739.cif
95,017740,17740,['Gd6FeBi2-17740-Cagome_big.gph'],intermetallics_search_017740.cif
96,017741,17741,['Gd6FeBi2-17741-Cagome_big.gph'],intermetallics_search_017741.cif
97,018416,18416,['LaAuMg-18416-Cagome_big.gph'],intermetallics_search_018416.cif
98,019284,19284,"['Ni1.625Mn1.574In0.467Co0.336-19284-Cagome_big.gph', 'Ni1.625Mn1.574In0.467Co0.336-19284-Cagome_big_1.gph', 'Ni1.625Mn1.574In0.467Co0.336-19284-Cagome_big_2.gph', 'Ni1.625Mn1.574In0.467Co0.336-19284-Cagome_big_3.gph', 'Ni1.625Mn1.574In0.467Co0.336-19284-Cagome_big_4.gph', 'Ni1.625Mn1.574In0.467Co0.336-19284-Cagome_big_5.gph', 'Ni1.625Mn1.574In0.467Co0.336-19284-Cagome_big_6.gph']",intermetallics_search_019284.cif
99,019710,19710,"['Gd2Co7-19710-Cagome_big.gph', 'Gd2Co7-19710-Cagome_big_1.gph', 'Gd2Co7-19710-Cagome_big_2.gph', 'Gd2Co7-19710-Cagome_big_3.gph']",intermetallics_search_019710.cif
100,019711,19711,"['Gd2Co7-19711-Cagome_big.gph', 'Gd2Co7-19711-Cagome_big_1.gph', 'Gd2Co7-19711-Cagome_big_2.gph']",intermetallics_search_019711.cif
101,020238,20238,"['Th2Zn17-20238-Cagome_big.gph', 'Th2Zn17-20238-Cagome_big_1.gph']",intermetallics_search_020238.cif
102,020239,20239,"['U2Zn17-20239-Cagome_big.gph', 'U2Zn17-20239-Cagome_big_1.gph', 'U2Zn17-20239-Cagome_big_2.gph', 'U2Zn17-20239-Cagome_big_3.gph', 'U2Zn17-20239-Cagome_big_4.gph', 'U2Zn17-20239-Cagome_big_5.gph', 'U2Zn17-20239-Cagome_big_6.gph', 'U2Zn17-20239-Cagome_big_7.gph', 'U2Zn17-20239-Cagome_big_8.gph']",intermetallics_search_020239.cif
103,020350,20350,"['CeNi5Sn-20350-Cagome_big.gph', 'CeNi5Sn-20350-Cagome_big_1.gph']",intermetallics_search_020350.cif
104,020812,20812,"['Sm(Mn0.47Ni0.53)3-20812-Cagome_big.gph', 'Sm(Mn0.47Ni0.53)3-20812-Cagome_big_1.gph', 'Sm(Mn0.47Ni0.53)3-20812-Cagome_big_2.gph', 'Sm(Mn0.47Ni0.53)3-20812-Cagome_big_3.gph']",intermetallics_search_020812.cif
105,020877,20877,"['YMnGa-20877-Cagome_big.gph', 'YMnGa-20877-Cagome_big_1.gph', 'YMnGa-20877-Cagome_big_2.gph', 'YMnGa-20877-Cagome_big_3.gph', 'YMnGa-20877-Cagome_big_4.gph', 'YMnGa-20877-Cagome_big_5.gph']",intermetallics_search_020877.cif
106,021829,21829,"['Cu3Pb-21829-Cagome_big.gph', 'Cu3Pb-21829-Cagome_big_1.gph']",intermetallics_search_021829.cif
107,021830,21830,"['Cu3Pb-21830-Cagome_big.gph', 'Cu3Pb-21830-Cagome_big_1.gph']",intermetallics_search_021830.cif
108,021831,21831,"['Cu3Pb-21831-Cagome_big.gph', 'Cu3Pb-21831-Cagome_big_1.gph']",intermetallics_search_021831.cif
109,021832,21832,"['Cu3Pb-21832-Cagome_big.gph', 'Cu3Pb-21832-Cagome_big_1.gph']",intermetallics_search_021832.cif
110,023043,23043,['PuPt5-23043-Cagome_big.gph'],intermetallics_search_023043.cif
111,023128,23128,"['La5Co19-23128-Cagome_big.gph', 'La5Co19-23128-Cagome_big_1.gph', 'La5Co19-23128-Cagome_big_2.gph']",intermetallics_search_023128.cif
112,023246,23246,"['Ti(Pt0.89Ni0.11)3-23246-Cagome_big.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_1.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_10.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_11.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_12.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_13.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_2.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_3.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_4.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_5.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_6.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_7.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_8.gph', 'Ti(Pt0.89Ni0.11)3-23246-Cagome_big_9.gph']",intermetallics_search_023246.cif
113,023256,23256,"['U2Cu3Al-23256-Cagome_big.gph', 'U2Cu3Al-23256-Cagome_big_1.gph']",intermetallics_search_023256.cif
114,023405,23405,"['Fe3Ge-23405-Cagome_big.gph', 'Fe3Ge-23405-Cagome_big_1.gph']",intermetallics_search_023405.cif
115,023577,23577,['FeGeHf-23577-Cagome_big.gph'],intermetallics_search_023577.cif
116,023578,23578,"['GeRuZr-23578-Cagome_big.gph', 'GeRuZr-23578-Cagome_big_1.gph', 'GeRuZr-23578-Cagome_big_2.gph', 'GeRuZr-23578-Cagome_big_3.gph', 'GeRuZr-23578-Cagome_big_4.gph', 'GeRuZr-23578-Cagome_big_5.gph']",intermetallics_search_023578.cif
117,024569,24569,"['Fe3Sn-24569-Cagome_big.gph', 'Fe3Sn-24569-Cagome_big_1.gph']",intermetallics_search_024569.cif
118,024581,24581,"['Co3Ta-24581-Cagome_big.gph', 'Co3Ta-24581-Cagome_big_1.gph', 'Co3Ta-24581-Cagome_big_2.gph']",intermetallics_search_024581.cif
119,024965,24965,['KBi2-24965-Cagome_big.gph'],intermetallics_search_024965.cif
120,025003,25003,"['Fe2MnGa-25003-Cagome_big.gph', 'Fe2MnGa-25003-Cagome_big_1.gph']",intermetallics_search_025003.cif
121,025361,25361,['CaBe.75Ge1.25-25361-Cagome_big.gph'],intermetallics_search_025361.cif
122,025362,25362,"['SrBe.75Ge1.25-25362-Cagome_big.gph', 'SrBe.75Ge1.25-25362-Cagome_big_1.gph']",intermetallics_search_025362.cif
123,025442,25442,"['HoCu4In-25442-Cagome_big.gph', 'HoCu4In-25442-Cagome_big_1.gph']",intermetallics_search_025442.cif
124,026065,26065,"['La0.75Ce0.25Ni4.8Al0.2-26065-Cagome_big.gph', 'La0.75Ce0.25Ni4.8Al0.2-26065-Cagome_big_1.gph']",intermetallics_search_026065.cif
125,026117,26117,['ZrNi0.99Al1.01-26117-Cagome_big.gph'],intermetallics_search_026117.cif
126,026220,26220,"['HoSb2-26220-Cagome_big.gph', 'HoSb2-26220-Cagome_big_1.gph', 'HoSb2-26220-Cagome_big_2.gph', 'HoSb2-26220-Cagome_big_3.gph', 'HoSb2-26220-Cagome_big_4.gph']",intermetallics_search_026220.cif
127,026221,26221,"['Yb5Sb3-26221-Cagome_big.gph', 'Yb5Sb3-26221-Cagome_big_1.gph', 'Yb5Sb3-26221-Cagome_big_2.gph', 'Yb5Sb3-26221-Cagome_big_3.gph', 'Yb5Sb3-26221-Cagome_big_4.gph', 'Yb5Sb3-26221-Cagome_big_5.gph']",intermetallics_search_026221.cif
128,026296,26296,['NdAl2-26296-Cagome_big.gph'],intermetallics_search_026296.cif
129,026306,26306,"['Nd(Al0.95Fe0.05)2-26306-Cagome_big.gph', 'Nd(Al0.95Fe0.05)2-26306-Cagome_big_1.gph']",intermetallics_search_026306.cif
130,026314,26314,"['Nd(Al0.9Fe0.1)2-26314-Cagome_big.gph', 'Nd(Al0.9Fe0.1)2-26314-Cagome_big_1.gph']",intermetallics_search_026314.cif
131,026316,26316,"['Nd(Al0.8Fe0.2)2-26316-Cagome_big.gph', 'Nd(Al0.8Fe0.2)2-26316-Cagome_big_1.gph']",intermetallics_search_026316.cif
132,026925,26925,"['Mg(Zn0.925Ag0.075)2-26925-Cagome_big.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_1.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_10.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_11.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_2.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_3.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_4.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_5.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_6.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_7.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_8.gph', 'Mg(Zn0.925Ag0.075)2-26925-Cagome_big_9.gph']",intermetallics_search_026925.cif
133,026940,26940,"['Tb3Ni2In4-26940-Cagome_big.gph', 'Tb3Ni2In4-26940-Cagome_big_1.gph']",intermetallics_search_026940.cif
